i,time,loss,ce,kl,accuracy
270200,29429.806533813477,0.10971119999885559,0.04740460216999054,0.7073887586593628,0.9685000777244568
270300,29440.40853190422,0.12357741594314575,0.05986033007502556,0.7234025001525879,0.9774999022483826
270400,29450.804845809937,0.10868129134178162,0.04378710314631462,0.7367666959762573,0.9670000672340393
270500,29461.5158097744,0.1354825794696808,0.06295372545719147,0.8234456777572632,0.9732499718666077
270600,29472.098921060562,0.14902618527412415,0.08469593524932861,0.7303639650344849,0.9780001044273376
270700,29482.785041570663,0.13496661186218262,0.07333685457706451,0.6997043490409851,0.9782499670982361
270800,29493.231813669205,0.1105378121137619,0.041284628212451935,0.7862558364868164,0.9760000705718994
270900,29503.913615226746,0.13538111746311188,0.06697666645050049,0.7766198515892029,0.9785000085830688
271000,29514.383576393127,0.1516861766576767,0.07825351506471634,0.8337069749832153,0.9747499227523804
271100,29524.835924863815,0.1107330173254013,0.04194604232907295,0.7809628248214722,0.9772500395774841
271200,29535.230096817017,0.13702088594436646,0.07093211263418198,0.7503292560577393,0.9775000214576721
271300,29546.032069683075,0.11416439712047577,0.048339229077100754,0.7473363876342773,0.9787499904632568
271400,29556.55740761757,0.12114012241363525,0.05536177009344101,0.7468048930168152,0.9750000238418579
271500,29567.342722177505,0.1311688870191574,0.06509197503328323,0.7501945495605469,0.9700000286102295
271600,29577.79055595398,0.1696281135082245,0.09951183944940567,0.7960547804832458,0.981249988079071
